ID,Name,Description,Icon,Class,Shape,Weight,Price,Item Type,Type,Time,Size,Health,Power,Speed,CoolTime,AttckSpeed,SpellTime,GroggyTime,DefenseCount,Turn Delay
Fs_1001,LFs_1001_00,LFs_1001_01,Fs_1001_Anchovy,Common,,0.2,100,Fish,Shallow,Day,30;50,10,1,1,0,1,3,1,4,0.3;1.5
Fs_1002,LFs_1002_00,LFs_1002_01,Fs_1002_Sea Bass,Common,1;0,0.6,150,Fish,Shallow,Day,50;100,20,2,1,0,1,2,1,4,0.7;1
Fs_1003,LFs_1003_00,LFs_1003_01,Fs_1003_Flounder,Common,1;0/0;1/1;1,0.4,250,Fish,Shallow,Day,30;70,30,3,2,10,1,3,1,5,0.7;1
Fs_1004,LFs_1004_00,LFs_1004_01,Fs_1004_Mullet,Common,-1;0/1;0,0.8,250,Fish,Shallow,Night,45;90,40,4,2,12,1.5,3,2,4,1;2
Fs_1005,LFs_1005_00,LFs_1005_01,Fs_1005_BlueTang,Common,,0.6,100,Fish,Shallow,Day,20;30,10,1,1,0,1,3,1,4,0.3;1.5
Fs_1006,LFs_1006_00,LFs_1006_01,Fs_1006_Clownfish,Common,,0.6,100,Fish,Shallow,Day,20;30,10,1,1,0,1,3,1,4,0.3;1.5
Fs_1007,LFs_1007_00,LFs_1007_01,Fs_1007_Mackerel,Common,1;0,1.6,100,Fish,Shallow,Day,20;30,10,1,1,0,1,3,1,4,0.3;1.5
Fs_1008,LFs_1008_00,LFs_1008_01,Fs_1008_CongerEel,Common,-1;0/1;0,5,500,Fish,Shallow,Night,90;100,10,1,1,0,1,3,1,4,0.3;1.5
Fs_1009,LFs_1009_00,LFs_1009_01,Fs_1009_Bluespotted Stingray,Common,0;-1/1;-1/1;0,5,500,Fish,Shallow,Night,90;100,10,1,1,0,1,3,1,4,0.3;1.5
Fs_2001,LFs_2001_00,LFs_2001_01,Fs_2001_Octopus,Uncommon,1;0/0;-1,1,350,Fish,Shallow,Day,150;250,50,5,3,12,1.5,3,1,5,1;2
Fs_2002,LFs_2002_00,LFs_2002_01,Fs_2002_Amberjack,Uncommon,-1;0/1;0/-1;1/0;1/1;1,1.5,500,Fish,Shallow,Night,80;150,60,6,3,12,2,4,3,6,1;2
Fs_2003,LFs_2003_00,LFs_2003_01,Fs_2003_Ocean Sunfish,Uncommon,-1;0/1;0/-1;1/0;1/1;1/0;2/0;-1,2,650,Fish,Shallow,Night,150;250,70,7,3,14,2,3,3,7,1.5;1
Fs_2004,LFs_2004_00,LFs_2004_01,Fs_2004_Cutlassfish,Uncommon,1;0/-1;-1/0;-1/1;-1,2,500,Fish,Shallow,Day,200;400,80,8,4,14,2,2,2,5,1.5;1
Fs_2005,LFs_2005_00,LFs_2005_01,Fs_2005_Swordfish,Uncommon,-2;0/-1;0/1;0/2;0/0;-1/1;-1/2;-1,2.4,750,Fish,Shallow,Day,250;500,90,9,4,14,3,2,1,5,1.5;1
Fs_3001,LFs_3001_00,LFs_3001_01,Fs_3001_Giant Squid,Rare,-1;0/1;0/-1;-1/0;-1/1;-1/-1;1/0;1/1;1/0;2/0;-2,5,800,Fish,Shallow,Night,500;1000,100,10,5,18,4,2,1,6,0.3;0.9
Fs_1010,LFs_1010_00,LFs_1010_01,Fs_1010_Giant Moray,Common,-1;0/1;0/0;1/1;1,5,500,Fish,Shallow,Night,90;100,10,1,1,0,1,3,1,4,0.3;1.5
